Sample,Time measurement (s),Primary load measurement (N),Rising/Falling
1546816,64.614,-498.94763,Falling
1546816,64.714,-498.93781,Rising
1546816,64.814,-498.95328,Falling
1546816,65.814,-499.80762,Rising
1546816,65.914,-499.94852,Falling
1546816,66.014,-499.8949,Rising
1546816,66.114,-499.97705,Falling
1546816,66.314,-499.89911,Rising
1546816,66.414,-499.99677,Falling
1546816,66.514,-499.90799,Rising
1546816,66.614,-499.91992,Falling
1546816,66.714,-499.83023,Rising
1546816,67.114,-499.76212,Falling
1546816,67.214,-499.70612,Rising
1546816,67.314,-499.73416,Falling
1546816,67.414,-499.68747,Rising
1546816,67.514,-499.74576,Falling
1546816,67.814,-499.74091,Rising
1546816,67.914,-499.77786,Falling
1546816,68.114,-499.78827,Rising
1546816,68.214,-499.84097,Falling
1546816,68.314,-499.81158,Rising
1546816,68.414,-499.81747,Falling
1546816,68.514,-499.77304,Rising
1546816,68.613,-499.83359,Falling
1546816,68.614,-499.83197,Rising
,,,
,,,
1546818,21.805,-100.86064,Rising
1546818,24.705,-100.08725,Falling
1546818,24.805,-100.03059,Rising
1546818,25.305,-100.0005,Falling
1546818,25.405,-99.96521,Rising
1546818,25.505,-99.92815,Falling
1546818,62.628,-500.07504,Rising
1546818,63.428,-499.10471,Falling
1546818,63.528,-499.07626,Rising
1546818,63.628,-499.13043,Falling
1546818,64.828,-499.98923,Rising
1546818,64.928,-499.99426,Falling
1546818,65.028,-499.96356,Rising
1546818,65.328,-499.9361,Falling
1546818,65.428,-499.88193,Rising
1546818,66.028,-499.8316,Falling
1546818,66.128,-499.8031,Rising
1546818,66.228,-499.84253,Falling
1546818,66.328,-499.82837,Rising
1546818,66.428,-499.84653,Falling
1546818,66.528,-499.79004,Rising
1546818,66.728,-499.77972,Falling
1546818,66.828,-499.75159,Rising
1546818,66.928,-499.75577,Falling
1546818,67.028,-499.73706,Rising
1546818,67.328,-499.72223,Falling
1546818,67.427,-499.7196,Rising
,,,
1546819,22.387,-101.04937,Rising
1546819,25.487,-100.34323,Falling
1546819,25.587,-100.30453,Rising
1546819,25.686,-100.32417,Falling
1546819,25.687,-100.3237,Rising
1546819,25.802,-101.07764,Falling
1546819,47.302,-282.98264,Rising
1546819,47.402,-284.47461,Falling
1546819,48.302,-293.79044,Rising
1546819,48.402,-294.97198,Falling
1546819,62.005,-499.93008,Rising
1546819,62.805,-499.53802,Falling
1546819,62.905,-499.35495,Rising
1546819,63.005,-499.56161,Falling
1546819,63.105,-499.53125,Rising
1546819,63.205,-499.67056,Falling
1546819,63.305,-499.59378,Rising
1546819,63.405,-499.78311,Falling
1546819,63.605,-499.87521,Rising
1546819,63.705,-500.04147,Falling
1546819,63.805,-500.03033,Rising
1546819,64.105,-500.07941,Falling
1546819,64.205,-500.021,Rising
1546819,64.305,-500.02988,Falling
1546819,64.405,-500.02219,Rising
1546819,64.505,-500.05304,Falling
1546819,64.605,-499.98398,Rising
1546819,64.905,-499.93036,Falling
1546819,65.005,-499.82068,Rising
1546819,65.405,-499.72992,Falling
1546819,65.505,-499.64539,Rising
1546819,65.605,-499.71069,Falling
1546819,65.705,-499.6955,Rising
1546819,66.005,-499.70456,Falling
1546819,66.705,-499.85849,Rising
1546819,66.804,-499.8627,Falling
1546819,66.83,-499.8559,Rising
,,,
1546820,23.183,-101.11816,Rising
1546820,23.283,-101.12912,Falling
1546820,23.383,-101.08656,Rising
1546820,23.483,-101.10569,Falling
1546820,23.583,-101.0323,Rising
1546820,23.683,-101.04003,Falling
1546820,23.783,-100.94204,Rising
1546820,23.983,-100.85051,Falling
1546820,24.083,-100.74237,Rising
1546820,24.383,-100.68789,Falling
1546820,24.483,-100.60043,Rising
1546820,24.883,-100.45956,Falling
1546820,24.983,-100.38956,Rising
1546820,25.583,-100.19576,Falling
1546820,25.783,-100.17482,Rising
1546820,25.883,-100.29612,Falling
1546820,25.983,-100.195,Rising
1546820,26.083,-100.21764,Falling
1546820,26.183,-100.15266,Rising
1546820,26.283,-100.17114,Falling
1546820,26.383,-100.13615,Rising
1546820,26.583,-100.09711,Falling
1546820,26.683,-100.023,Rising
1546820,26.783,-100.04733,Falling
1546820,26.882,-99.93919,Rising
1546820,26.883,-99.9409,Falling
1546820,45.305,-253.74803,Rising
1546820,45.405,-253.88184,Falling
1546820,62.611,-499.91901,Rising
1546820,63.311,-499.13599,Falling
1546820,64.611,-499.93372,Rising
1546820,64.711,-499.99948,Falling
1546820,65.411,-500.23962,Rising
1546820,66.211,-499.99017,Falling
1546820,66.311,-499.98358,Rising
1546820,66.711,-499.9292,Falling
1546820,66.811,-499.90076,Rising
1546820,66.911,-499.9101,Falling
1546820,67.011,-499.89639,Rising
1546820,67.111,-499.91046,Falling
1546820,67.211,-499.84506,Rising
1546820,67.311,-499.85217,Falling
1546820,67.41,-499.77963,Rising
1546820,67.411,-499.78101,Falling
1546820,67.538,-497.7482,Rising
,,,
1546821,22.642,-101.27307,Rising
1546821,22.742,-101.27978,Falling
1546821,22.842,-101.2383,Rising
1546821,23.842,-100.87727,Falling
1546821,23.942,-100.82669,Rising
1546821,25.742,-100.4347,Falling
1546821,25.842,-100.35345,Rising
1546821,25.942,-100.37747,Falling
1546821,26.042,-100.27808,Rising
1546821,26.142,-100.39217,Falling
1546821,26.242,-100.24218,Rising
1546821,26.341,-100.31351,Falling
1546821,26.363,-100.30952,Rising
1546821,26.463,-100.99226,Falling
1546821,49.663,-301.8183,Rising
1546821,49.763,-302.58524,Falling
1546821,62.01,-500.14847,Rising
1546821,62.31,-499.79126,Falling
1546821,62.41,-499.60162,Rising
1546821,62.81,-499.5058,Falling
1546821,63.11,-499.43988,Rising
1546821,63.21,-499.66281,Falling
1546821,63.31,-499.51425,Rising
1546821,63.41,-499.5968,Falling
1546821,63.51,-499.49591,Rising
1546821,63.61,-499.65314,Falling
1546821,63.71,-499.56589,Rising
1546821,63.81,-499.62927,Falling
1546821,64.01,-499.64734,Rising
1546821,64.11,-499.66907,Falling
1546821,64.21,-499.59567,Rising
1546821,64.31,-499.63916,Falling
1546821,64.41,-499.59171,Rising
1546821,64.51,-499.69025,Falling
1546821,64.61,-499.68811,Rising
1546821,64.71,-499.70535,Falling
1546821,65.81,-500.32144,Rising
1546821,65.91,-500.32758,Falling
1546821,66.01,-500.31613,Rising
1546821,66.41,-500.22043,Falling
1546821,66.51,-500.20044,Rising
1546821,66.71,-500.23083,Falling
1546821,66.809,-500.203,Rising
1546821,66.81,-500.20517,Falling
1546821,66.968,-498.22177,Rising
,,,
1546822,20.975,-100.87006,Rising
1546822,21.075,-100.89046,Falling
1546822,21.375,-100.91843,Rising
1546822,21.475,-100.92465,Falling
1546822,21.575,-100.90444,Rising
1546822,21.875,-100.8961,Falling
1546822,21.975,-100.85708,Rising
1546822,22.475,-100.7372,Falling
1546822,22.575,-100.65182,Rising
1546822,22.675,-100.68209,Falling
1546822,22.775,-100.65182,Rising
1546822,23.375,-100.49653,Falling
1546822,23.475,-100.44052,Rising
1546822,23.975,-100.34418,Falling
1546822,24.075,-100.31373,Rising
1546822,24.375,-100.29676,Falling
1546822,24.475,-100.21992,Rising
1546822,24.575,-100.23486,Falling
1546822,24.675,-100.17626,Rising
1546822,24.775,-100.19574,Falling
1546822,24.874,-100.17464,Rising
1546822,24.995,-100.9549,Falling
1546822,49.277,-307.94202,Rising
