Sample,Time measurement (s),Primary load measurement (N),Rising/Falling
1546832,22.435,-101.28295,Rising
1546832,22.535,-101.30298,Falling
1546832,22.635,-101.2382,Rising
1546832,24.935,-100.58944,Falling
1546832,25.035,-100.54892,Rising
1546832,25.235,-100.52584,Falling
1546832,25.335,-100.48903,Rising
1546832,25.735,-100.42906,Falling
1546832,25.835,-100.40157,Rising
1546832,26.085,-101.11936,Falling
1546832,50.985,-324.70416,Rising
1546832,51.253,-320.83725,Falling
1546832,61.676,-500.46164,Rising
1546832,62.876,-499.08841,Falling
1546832,63.476,-499.3259,Rising
1546832,63.576,-499.38522,Falling
1546832,65.376,-500.17709,Rising
1546832,65.476,-500.23889,Falling
1546832,65.576,-500.22418,Rising
1546832,65.676,-500.23865,Falling
1546832,65.776,-500.23251,Rising
1546832,65.976,-500.23734,Falling
1546832,66.076,-500.15866,Rising
1546832,66.176,-500.1788,Falling
1546832,66.276,-500.13025,Rising
1546832,66.376,-500.18686,Falling
1546832,66.475,-500.14883,Rising
,,,
1546833,20.587,-101.13882,Rising
1546833,20.687,-101.14573,Falling
1546833,20.787,-101.10645,Rising
1546833,24.211,-101.03886,Falling
1546833,42.311,-249.789,Rising
1546833,42.411,-250.76106,Falling
1546833,44.91,-266.67639,Rising
1546833,45.11,-267.39258,Falling
1546833,61.101,-500.90872,Rising
1546833,62.401,-499.16556,Falling
1546833,62.501,-499.15009,Rising
1546833,62.701,-499.15512,Falling
1546833,62.801,-499.13907,Rising
1546833,62.901,-499.19153,Falling
1546833,63.301,-499.28171,Rising
1546833,63.401,-499.32416,Falling
1546833,63.901,-499.52176,Rising
1546833,64.001,-499.61697,Falling
1546833,64.401,-499.70074,Rising
1546833,64.501,-499.76276,Falling
1546833,65.301,-500.07968,Rising
1546833,65.601,-500.11493,Falling
1546833,65.901,-500.1958,Rising
1546833,65.924,-500.24615,Falling
1546833,66.024,-498.64194,Rising
